"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 11 15:43:18 GMT 2022","Tue Jan 11 15:43:19 GMT 2022","1444","","Test for basic item purchase process","","Test for basic item purchase process","proceeds to 'Cart summary' page and validates the chosen item in cart","proceeds to 'Cart summary' page and validates the chosen item in cart",""
"passed","Tue Jan 11 15:43:07 GMT 2022","Tue Jan 11 15:43:09 GMT 2022","2051","","Test for login process: successful login","","Test for login process: successful login","logs in with correct data and validates that the process was successful","logs in with correct data and validates that the process was successful",""
"passed","Tue Jan 11 15:43:19 GMT 2022","Tue Jan 11 15:43:25 GMT 2022","5501","","Test for basic item purchase process","","Test for basic item purchase process","Logs in with credentials and proceeds to 'Addresses' page","Logs in with credentials and proceeds to 'Addresses' page",""
"passed","Tue Jan 11 15:43:52 GMT 2022","Tue Jan 11 15:43:54 GMT 2022","2046","","Test for basic item purchase process","","Test for basic item purchase process","proceeds to 'Shipping' page and checks page headline","proceeds to 'Shipping' page and checks page headline",""
"passed","Tue Jan 11 15:43:41 GMT 2022","Tue Jan 11 15:43:46 GMT 2022","5110","","Test for registration process: successful registration","","Test for registration process: successful registration","navigates to 'Sign in'page and checks if it opens","navigates to 'Sign in'page and checks if it opens",""
"passed","Tue Jan 11 15:43:46 GMT 2022","Tue Jan 11 15:43:52 GMT 2022","5571","","Test for basic item purchase process","","Test for basic item purchase process","Logs in with credentials and proceeds to 'Addresses' page","Logs in with credentials and proceeds to 'Addresses' page",""
"passed","Tue Jan 11 15:43:12 GMT 2022","Tue Jan 11 15:43:16 GMT 2022","4392","","Test for basic item purchase process","","Test for basic item purchase process","""before all"" hook","""before all"" hook",""
"passed","Tue Jan 11 15:43:54 GMT 2022","Tue Jan 11 15:43:57 GMT 2022","2821","","Test for basic item purchase process","","Test for basic item purchase process","proceeds to payment, chooses payment method and proceeds to 'Order summary' page","proceeds to payment, chooses payment method and proceeds to 'Order summary' page",""
"passed","Tue Jan 11 15:43:34 GMT 2022","Tue Jan 11 15:43:40 GMT 2022","5884","","Test for basic item purchase process","","Test for basic item purchase process","""before all"" hook","""before all"" hook",""
"passed","Tue Jan 11 15:43:49 GMT 2022","Tue Jan 11 15:43:54 GMT 2022","5371","","Test for registration process: successful registration","","Test for registration process: successful registration","adds correct registration data and validates that the registration was successful","adds correct registration data and validates that the registration was successful",""
"passed","Tue Jan 11 15:43:25 GMT 2022","Tue Jan 11 15:43:26 GMT 2022","1131","","Test for basic item purchase process","","Test for basic item purchase process","proceeds to 'Shipping' page and checks page headline","proceeds to 'Shipping' page and checks page headline",""
"passed","Tue Jan 11 15:43:07 GMT 2022","Tue Jan 11 15:43:09 GMT 2022","1996","","Test for login process: unsuccessful login - no data","","Test for login process: unsuccessful login - no data","navigates to 'Sign in'page and checks if it opens","navigates to 'Sign in'page and checks if it opens",""
"passed","Tue Jan 11 15:43:09 GMT 2022","Tue Jan 11 15:43:10 GMT 2022","877","","Test for login process: unsuccessful login - no data","","Test for login process: unsuccessful login - no data","doesn't add any data and validates that the login was unsuccessful","doesn't add any data and validates that the login was unsuccessful",""
"passed","Tue Jan 11 15:43:29 GMT 2022","Tue Jan 11 15:43:33 GMT 2022","4363","","Test for basic item purchase process","","Test for basic item purchase process","confirms order and checks 'Confirmation' page headline","confirms order and checks 'Confirmation' page headline",""
"passed","Tue Jan 11 15:43:57 GMT 2022","Tue Jan 11 15:44:00 GMT 2022","3141","","Test for basic item purchase process","","Test for basic item purchase process","confirms order and checks 'Confirmation' page headline","confirms order and checks 'Confirmation' page headline",""
"passed","Tue Jan 11 15:43:03 GMT 2022","Tue Jan 11 15:43:07 GMT 2022","3986","","Test for login process","","Test for login process","""before all"" hook","""before all"" hook",""
"passed","Tue Jan 11 15:43:26 GMT 2022","Tue Jan 11 15:43:29 GMT 2022","2872","","Test for basic item purchase process","","Test for basic item purchase process","proceeds to payment, chooses payment method and proceeds to 'Order summary' page","proceeds to payment, chooses payment method and proceeds to 'Order summary' page",""
"passed","Tue Jan 11 15:43:27 GMT 2022","Tue Jan 11 15:43:31 GMT 2022","3742","","Test for registration process: successful registration","","Test for registration process: successful registration","adds correct registration data and validates that the registration was successful","adds correct registration data and validates that the registration was successful",""
"passed","Tue Jan 11 15:43:24 GMT 2022","Tue Jan 11 15:43:25 GMT 2022","1635","","Test for registration process: successful registration","","Test for registration process: successful registration","navigates to 'Sign in'page and checks if it opens","navigates to 'Sign in'page and checks if it opens",""
